Métrica	Valor (Baseline)
0	MAE CV (Validación)	39.49 ± 11.20 s
1	RMSE CV (Validación)	56.77 ± 14.03 s
2	R² CV (Validación)	0.8704 ± 0.0652
3	MAE Test (Generalización)	57.98 s
4	RMSE Test (Generalización)	80.83 s
5	R² Test (Generalización)	0.7569
6	MAPE Test (Error %)	61.78 %
7	Acc@60s Test	61.85 %
8	Acc@120s Test	85.78 %
